Date,close,volume,triangle_detected,triangle_upper,triangle_lower,apex_distance,compression_pct,breakout_pressure,channel_detected,channel_upper,channel_lower,channel_width,rectangle_detected,rectangle_upper,rectangle_lower,rectangle_width,flag_detected,pennant_detected,flag_quality,pole_length,retracement_depth,volume_decay,wedge_detected,cup_detected,handle_detected,rounding_top_detected,rounding_bottom_detected,neckline,hs_detected,ihs_detected,hs_neckline_slope,hs_breakout_confirmed,double_top_detected,double_bottom_detected,triple_top_detected,triple_bottom_detected,resistance_strength,volume_confirmation,support_strength,pattern_confidence,trend_strength,breakout_strength,swing_low,swing_high,triangle_type,channel_type,wedge_type,pattern_family,market_phase,market_regime
2026-01-23,901.1947021484375,30985247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-27,911.3272094726562,44753093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-28,917.524658203125,35347138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-29,920.2791137695312,37175628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-30,914.1307983398438,29691233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-02,912.9994506835938,28032106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-03,933.2643432617188,50336968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-04,937.5927124023438,24366770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-05,934.248046875,28103169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,,None,None,None,None,Neutral,Neutral
2026-02-06,925.7879638671875,18120272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-09,922.0006103515625,23947829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-10,917.2295532226562,31525385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-11,912.0157470703125,24869804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-12,905.6215209960938,33872203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-13,889.1932373046875,50188359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-16,910.7368774414062,18806989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-17,910.6385498046875,22599629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5053455447564,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-18,909.6548461914062,12738702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,85.0,,,,886.3403973585059,977.8272849855383,None,None,None,Reversal,Neutral,Neutral
2026-02-19,900.702880859375,21209234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-20,897.0138549804688,22654907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-23,908.5726928710938,23270122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-24,895.6858520507812,31313985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-25,892.8330078125,27884303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-26,883.9794311523438,41165937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-02-27,873.3060302734375,34620755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-02,865.0918579101562,38378924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-04,854.5167846679688,39862322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-05,863.4686889648438,31324582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-06,843.10546875,34439647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-09,827.0215454101562,35592613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-10,835.629150390625,52866024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-11,820.38134765625,42261076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-12,819.2008666992188,46107561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-13,803.7071533203125,41700464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-16,826.9231567382812,52182605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-17,831.5958251953125,38826979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.3403973585059,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-18,829.333251953125,23507063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.7885048911796,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-19,785.2130126953125,171637393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.7885048911796,977.8272849855383,None,None,None,None,Neutral,Neutral
2026-03-20,767.7518310546875,103129469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.7885048911796,835.0881134427475,None,None,None,None,Neutral,Neutral
2026-03-23,732.04248046875,72341738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.7885048911796,835.0881134427475,None,None,None,None,Neutral,Neutral
2026-03-24,752.454833984375,61269986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.7885048911796,835.0881134427475,None,None,None,None,Neutral,Neutral
2026-03-25,769.5717163085938,59230640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.7885048911796,835.0881134427475,None,None,None,None,Neutral,Neutral
2026-03-27,743.8963623046875,65485199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.9928823726722,835.0881134427475,None,None,None,None,Neutral,Neutral
2026-03-30,719.6473999023438,103500135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.9928823726722,835.0881134427475,None,None,None,None,Neutral,Neutral
2026-04-01,730.17333984375,78862761,,775.1933908157239,714.4484265553783,0.0,0.0,25.886776755644476,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,85.0,,,728.9928823726722,781.8683373030494,None,None,Falling,Continuation,Compression,Neutral
2026-04-02,738.6826171875,49310300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.9928823726722,781.8683373030494,None,None,None,None,Neutral,Neutral
2026-04-06,758.45556640625,42976659,,764.4252482843574,681.2069031598592,0.0,,92.82648330824593,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,85.0,,,714.8271607333363,781.8683373030494,None,None,Falling,Continuation,Compression,Neutral
2026-04-07,759.4392700195312,51309793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8271607333363,781.8683373030494,None,None,None,None,Neutral,Neutral
2026-04-08,802.82177734375,70269512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8271607333363,781.8683373030494,None,None,None,None,Neutral,Neutral
2026-04-09,784.72119140625,48879392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8271607333363,781.8683373030494,None,None,None,None,Neutral,Neutral
2026-04-10,797.1161499023438,38156026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8271607333363,781.8683373030494,None,None,None,None,Neutral,Neutral
2026-04-13,781.7699584960938,47549328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8271607333363,781.8683373030494,None,None,None,None,Neutral,Neutral
2026-04-15,796.72265625,39769515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8271607333363,805.674621946626,None,None,None,None,Neutral,Neutral
2026-04-16,782.5077514648438,62861293,,,,,,,,,,,,,,,1.0,,25.931233723806002,62.8603515625,49.53060485661744,0.74068766276194,,,,,,,,,,,,,,,,,,90.0,,,714.8271607333363,805.674621946626,None,None,None,Continuation,Neutral,Neutral
2026-04-17,786.8853759765625,37282544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,805.674621946626,None,None,None,None,Neutral,Neutral
