Date,close,volume,triangle_detected,triangle_upper,triangle_lower,apex_distance,compression_pct,breakout_pressure,channel_detected,channel_upper,channel_lower,channel_width,rectangle_detected,rectangle_upper,rectangle_lower,rectangle_width,flag_detected,pennant_detected,flag_quality,pole_length,retracement_depth,volume_decay,wedge_detected,cup_detected,handle_detected,rounding_top_detected,rounding_bottom_detected,neckline,hs_detected,ihs_detected,hs_neckline_slope,hs_breakout_confirmed,double_top_detected,double_bottom_detected,triple_top_detected,triple_bottom_detected,resistance_strength,volume_confirmation,support_strength,pattern_confidence,trend_strength,breakout_strength,swing_low,swing_high,triangle_type,channel_type,wedge_type,pattern_family,market_phase,market_regime
2026-01-23,3103.178466796875,2068857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-27,3098.762939453125,4279874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-28,3140.073486328125,2751234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-29,3085.41796875,2457641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-01-30,3065.302490234375,3022068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-02,3110.1455078125,2636272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-03,3164.800537109375,4366060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-04,2942.84375,10852595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-05,2935.38623046875,3521545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,Neutral,Neutral
2026-02-06,2886.422119140625,4687389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3287.1613923698505,None,None,None,None,Neutral,Neutral
